id,Name,Developer,Producer,Genre,Operating_System,Date_Released
1, A-Men 2, Bloober Team, Bloober Team, Adventure Puzzle, Microsoft Windows, June 24 2015
2, A-Train, Artdink, Artdink Maxis Ocean Software, Vehicle Simulation Game, Windows Mac, 1985
3, A-10 Cuba!, Parsoft Interactive, Activision, Flight simulator, Windows Mac, November 30 1996
4, A.D. 2044, R.M.P. Software, LK Avalon, Adventure, Microsoft Windows, September 6 1996
5, A.D.A.M. Lifes Greatest Mysteries, Columbia Healthcare Corporation, Columbia Healthcare Corporation, Educational, Microsoft Windows, 1996
6, A.D.A.M. The Inside Story, Columbia Healthcare Corporation, Columbia Healthcare Corporation, Educational, Microsoft Windows, 1995
7, A.R.E.S.: Extinction Agenda, Extend Studio, Origo Games Aksys Games, Action platform, Microsoft Windows, December 14 2010
8, A Girls Fabric Face, Stanislaw Truchowskit, TurnVex, Adventure, Microsoft Windows, March 10 2017
9, A Hat in Time, Gears for Breakfast, Gears for Breakfast, Platform action-adventure, macOS Microsoft Windows, October 5 2017
10, A Game of Thrones: Genesis, Cyanide, Focus Home Interactive, Strategy, Microsoft Windows, September 28 2011

